product_category_name,avg_price,avg_freight
pcs,1098.690238095238,48.513333333333335
portateis_casa_forno_e_cafe,563.8893939393939,27.503939393939394
eletrodomesticos_2,409.215,38.804609375
agro_industria_e_comercio,316.5072222222222,27.281296296296293
instrumentos_musicais,287.42007751937984,25.84870801033592
eletroportateis,278.56,24.076649874055416
construcao_ferramentas_seguranca,223.2605882352941,20.28319327731092
relogios_presentes,201.43173795180724,16.941813253012047
musica,201.16500000000002,19.858333333333334
telefonia_fixa,200.24139705882354,17.169926470588237
climatizacao,196.23978873239437,22.14725352112676
construcao_ferramentas_construcao,178.0269650655022,23.638951965065502
portateis_cozinha_e_preparadores_de_alimentos,170.1142857142857,16.3
cool_stuff,169.4307328605201,22.46025531914894
moveis_escritorio,162.34874862788143,40.07885839736553
moveis_cozinha_area_de_servico_jantar_e_jardim,159.6571523178808,41.52390728476821
moveis_quarto,156.8675714285714,39.598285714285716
audio,154.40564516129032,15.892311827956988
pc_gamer,151.792,15.896
casa_conforto,148.71146153846155,19.828076923076924
automotivo,145.62607892527288,21.78182199832074
consoles_games,145.32188311688313,17.003993506493504
seguros_e_servicos,141.64499999999998,20.61
casa_construcao,141.13445482866044,23.612056074766357
moveis_sala,139.67515789473683,34.093964912280704
construcao_ferramentas_iluminacao,137.08895348837208,25.410523255813953
construcao_ferramentas_ferramentas,135.97238095238095,19.63746031746032
bebes,133.8890887432996,22.657689100655155
artes,133.11792000000003,19.992240000000002
industria_comercio_e_negocios,132.78661870503598,27.666474820143883
beleza_saude,131.44395375284307,19.141247156937073
malas_acessorios,129.04372990353698,28.402315112540194
la_cuisine,128.25,21.3525
construcao_ferramentas_jardim,122.61803030303031,22.32621212121212
brinquedos,122.59719234275296,19.529521422060164
moveis_colchao_e_estofado,119.17571428571429,43.83190476190477
perfumaria,117.71380628272252,15.841921465968586
informatica_acessorios,115.77823543178096,18.56320383805289
esporte_lazer,113.72764816360602,19.276064273789647
sinalizacao_e_seguranca,110.88228571428571,40.549142857142854
pet_shop,110.13359315589355,20.14161596958175
ferramentas_jardim,109.26285180572853,22.855205479452056
eletrodomesticos,103.75795454545455,19.225840909090913
artigos_de_festas,99.00678571428571,17.83214285714286
artes_e_artesanato,95.64642857142857,18.041428571428572
dvds_blu_ray,95.06277777777777,22.024166666666666
cama_mesa_banho,93.59505832793259,18.483705443940377
livros_importados,92.63724137931034,13.569999999999999
papelaria,91.92029710144926,18.467884057971016
utilidades_domesticas,91.33336597938145,20.90447680412371
moveis_decoracao,87.7416052344602,20.56442748091603
market_place,87.35205555555557,17.652333333333335
fashion_calcados,86.62648148148148,18.33962962962963
livros_interesse_geral,85.2687459807074,16.305434083601284
cine_foto,84.15026315789474,16.21
fashion_roupa_masculina,83.25676923076924,16.080461538461538
livros_tecnicos,78.25950704225352,16.9806338028169
tablets_impressao_imagem,77.33173076923077,14.665000000000001
fashion_bolsas_e_acessorios,71.77430232558139,16.001046511627905
fashion_roupa_infanto_juvenil,69.97666666666667,11.806666666666667
unknown,68.45375939849625,11.258781954887219
telefonia,67.07659182036888,15.551872493985567
fashion_underwear_e_moda_praia,62.91623188405797,14.160579710144928
alimentos,58.968149466192166,13.981601423487545
bebidas,58.50571428571429,15.020178571428572
alimentos_bebidas,57.96142857142857,16.722467532467533
fashion_esporte,57.11,17.128095238095238
eletronicos,57.03644878706199,16.724380053908355
artigos_de_natal,55.54450704225353,21.041971830985915
cds_dvds_musicais,55.0,17.58375
fashion_roupa_feminina,51.98481481481482,12.597407407407408
fraldas_higiene,42.1916,15.2548
flores,33.33894736842105,15.63578947368421
casa_conforto_2,31.312,13.290666666666668
