product_category_name,avg_review_score
flores,4.705882352941177
livros_importados,4.551724137931035
cds_dvds_musicais,4.5
alimentos_bebidas,4.48051948051948
livros_interesse_geral,4.464516129032258
livros_tecnicos,4.41726618705036
fashion_esporte,4.380952380952381
construcao_ferramentas_ferramentas,4.3559322033898304
fashion_roupa_infanto_juvenil,4.333333333333333
malas_acessorios,4.3021001615508885
alimentos,4.267857142857143
instrumentos_musicais,4.261780104712042
sinalizacao_e_seguranca,4.247619047619048
cine_foto,4.2368421052631575
agro_industria_e_comercio,4.228395061728395
fashion_calcados,4.220125786163522
papelaria,4.203067932797662
eletrodomesticos_2,4.181102362204724
pet_shop,4.164593301435406
brinquedos,4.159247361174851
beleza_saude,4.158578525028659
perfumaria,4.156315789473684
eletroportateis,4.146835443037975
fashion_bolsas_e_acessorios,4.142985611510792
cool_stuff,4.135690396559962
fashion_underwear_e_moda_praia,4.130434782608695
eletrodomesticos,4.128146453089244
esporte_lazer,4.107443229604709
construcao_ferramentas_jardim,4.106060606060606
construcao_ferramentas_iluminacao,4.0920245398773005
utilidades_domesticas,4.090579710144928
automotivo,4.0746520455504
artes_e_artesanato,4.071428571428571
casa_conforto_2,4.066666666666666
musica,4.055555555555555
bebidas,4.055045871559633
moveis_sala,4.054151624548736
eletronicos,4.05359565807327
bebes,4.047961630695443
tablets_impressao_imagem,4.038461538461538
industria_comercio_e_negocios,4.028776978417266
artigos_de_natal,4.028169014084507
relogios_presentes,4.024301336573512
pcs,4.016129032258065
portateis_casa_forno_e_cafe,4.0
audio,3.9891891891891893
consoles_games,3.9819967266775778
construcao_ferramentas_construcao,3.956043956043956
ferramentas_jardim,3.9497697781498533
informatica_acessorios,3.946811014356319
moveis_decoracao,3.923601937472479
telefonia,3.9229528035498187
construcao_ferramentas_seguranca,3.9152542372881354
cama_mesa_banho,3.911479717523403
market_place,3.898876404494382
artigos_de_festas,3.892857142857143
climatizacao,3.892857142857143
artes,3.8870967741935485
casa_construcao,3.882911392405063
casa_conforto,3.8333333333333335
fashion_roupa_masculina,3.830769230769231
dvds_blu_ray,3.8285714285714287
fashion_roupa_feminina,3.7777777777777777
moveis_cozinha_area_de_servico_jantar_e_jardim,3.7333333333333334
moveis_quarto,3.6857142857142855
moveis_colchao_e_estofado,3.6666666666666665
telefonia_fixa,3.6148148148148147
moveis_escritorio,3.5595105672969964
fraldas_higiene,3.44
la_cuisine,3.2857142857142856
unknown,3.132575757575758
pc_gamer,3.0
portateis_cozinha_e_preparadores_de_alimentos,2.5714285714285716
seguros_e_servicos,2.5
